web-scraper-order,web-scraper-start-url,all_list,all_list-href,business name,business description,reviews rating,phone number,website,website-href,business_address,PAGINATION,PAGINATION-href
"1595466733-99","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Enhance The Beauty Natural  Hair Spa","https://www.yellowpages.com/houston-tx/mip/enhance-the-beauty-natural-hair-spa-464576054","null","As the owner of Enhance The Beauty Natural Hair Spa, my passion is to provide customer service that somehow have been dimenished and is no longer in most places we patronize. You will receive services in a clean, mature professional environment that you can be pleased with. I look forward in speaking with you soon to start or maintain YOUR natural hair journey!","null","(832) 294-7258","null","","1808 Wheeler St, Houston, TX 77004","2","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=2"
"1595466615-63","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Helen's Hair & Nail Salon","https://www.yellowpages.com/houston-tx/mip/helens-hair-nail-salon-12509290","null","null","null","(281) 444-5387","Visit Website","http://helen-e.com/","14429 Bammel North Houston Rd, Houston, TX 77014","3","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=3"
"1595466679-84","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Everlasting Beauty Salon","https://www.yellowpages.com/houston-tx/mip/everlasting-beauty-salon-2487131","null","null","(1 Review)","(281) 922-4450","null","","10820 Hughes Rd, Houston, TX 77089","3","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=3"
"1595466398-8","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Estilo's Beauty Salon","https://www.yellowpages.com/houston-tx/mip/estilos-beauty-salon-453729423","null","null","null","(713) 271-3663","null","","9305 Fondren Rd, Houston, TX 77074","5","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=5"
"1595466450-21","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Beauty Lounge","https://www.yellowpages.com/houston-tx/mip/beauty-lounge-455926578","null","null","null","(281) 209-0979","Visit Website","http://christonsalon07.weebly.com/","3500 N Terminal Rd, Houston, TX 77032","5","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=5"
"1595466635-70","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Salon Studio Dean Mcneely","https://www.yellowpages.com/houston-tx/mip/salon-studio-dean-mcneely-457436725","null","null","(1 Review)","(713) 290-1175","Visit Website","http://www.salonstudiodean.com/","1822 W 43rd St, Houston, TX 77018","3","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=3"
"1595466546-43","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Finesse Salon & Spa","https://www.yellowpages.com/houston-tx/mip/finesse-salon-spa-2883813","null","null","(1 Review)","(713) 461-5633","null","","12526 Memorial Dr, Houston, TX 77024","4","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=4"
"1595466739-101","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","About Hair","https://www.yellowpages.com/houston-tx/mip/about-hair-8239278","null","null","(6 Reviews)","(281) 463-3616","null","","15422 Fm 529 Rd, Houston, TX 77095","2","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=2"
"1595466581-54","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Lola's Hair","https://www.yellowpages.com/houston-tx/mip/lolas-hair-472090794","null","null","(5 Reviews)","(713) 774-7672","Visit Website","http://www.lolashair.com/","8104 Southwest Fwy, Houston, TX 77074","4","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=4"
"1595466728-97","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Mary's Hair Salon","https://www.yellowpages.com/houston-tx/mip/marys-hair-salon-1140779","null","null","null","(281) 370-8302","null","","10801 Spring Cypress Rd, Houston, TX 77070","2","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=2"
"1595466593-58","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","LL Hair Studio","https://www.yellowpages.com/houston-tx/mip/ll-hair-studio-1951982","null","null","(2 Reviews)","(281) 550-5302","Visit Website","http://www.llhairstudiosalon.com/","8475 Highway 6 N Ste F, Houston, TX 77095","4","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=4"
"1595466709-91","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Courtyard Salon","https://www.yellowpages.com/houston-tx/mip/courtyard-salon-4403791","null","null","null","(281) 345-3900","Visit Website","http://courtyardsalonstexas.com/","8560 Highway 6 N, Houston, TX 77095","2","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=2"
"1595466690-87","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Super Weave Xpress","https://www.yellowpages.com/houston-tx/mip/super-weave-xpress-472641792","null","null","(15 Reviews)","(832) 649-8288","Visit Website","http://www.superweavexpress.com/","3113 Fountain View Dr, Houston, TX 77057","3","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=3"
"1595466462-25","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","TGF Hair Salon","https://www.yellowpages.com/houston-tx/mip/tgf-hair-salon-2263523","null","null","(3 Reviews)","(281) 858-4900","Visit Website","http://www.tgfhairsalons.com/","4935 Highway 6 N, Houston, TX 77084","5","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=5"
"1595466750-105","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Tina's Hair Studio","https://www.yellowpages.com/houston-tx/mip/tinas-hair-studio-14286033","null","null","(1 Review)","(281) 480-6564","null","","1080 Clear Lake City Blvd Ste A, Houston, TX 77062","2","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=2"
"1595466391-7","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Anahi Hair Salon","https://www.yellowpages.com/houston-tx/mip/anahi-hair-salon-23200514","null","null","null","(713) 283-9996","null","","13407 Main St, Houston, TX 77035","5","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=5"
"1595466747-104","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Salon Park","https://www.yellowpages.com/houston-tx/mip/salon-park-3835740","null","null","null","(713) 590-1200","Visit Website","http://www.salonpark.com/","5288 W 34th St, Houston, TX 77092","2","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=2"
"1595466533-39","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Eshallence Hair Design","https://www.yellowpages.com/houston-tx/mip/eshallence-hair-design-460683090","null","null","null","(713) 645-9939","null","","4431 Griggs Rd, Houston, TX 77021","4","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=4"
"1595466676-83","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Salon Social","https://www.yellowpages.com/houston-tx/mip/salon-social-467911908","null","null","null","(713) 932-0435","Visit Website","http://www.salon-social.com/","12355 Kingsride Ln, Houston, TX 77024","3","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=3"
"1595466487-30","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Beauty Empire","https://www.yellowpages.com/houston-tx/mip/beauty-empire-2533800","null","null","null","(281) 874-0089","Visit Website","http://www.beautyempirestore.com/","15002 Ella Blvd Ste 36, Houston, TX 77090","5","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=5"
"1595466716-93","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Hair & Now","https://www.yellowpages.com/houston-tx/mip/hair-now-470259194","null","null","null","(281) 469-9575","null","","9639 Cypress Creek Pkwy, Houston, TX 77070","2","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=2"
"1595466474-27","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Salon Boutique","https://www.yellowpages.com/houston-tx/mip/salon-boutique-457395925","null","null","null","(281) 457-4455","null","","16211 Clay Rd, Houston, TX 77084","5","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=5"
"1595466519-36","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Dpelos","https://www.yellowpages.com/houston-tx/mip/dpelos-13111887","null","null","null","(281) 219-2332","null","","4740 Aldine Mail Route Rd Ste B, Houston, TX 77039","4","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=4"
"1595466539-41","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Salon Oasis","https://www.yellowpages.com/houston-tx/mip/salon-oasis-476084211","null","null","(1 Review)","(281) 558-4247","null","","1000 W Oaks Mall Ste 238, Houston, TX 77082","4","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=4"
"1595466755-107","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","E Styles Hair","https://www.yellowpages.com/houston-tx/mip/e-styles-hair-461523807","null","Come into E Styles Hair Salon and experience a totally relaxing, private, and professional environment. As as licensed professional, I have an established clientele with over 20 years of experience in hair care and quality work, including High Frequency. Please call me today for a FREE consultation or to ask any questions you might have!","(1 Review)","(713) 885-8719","Visit Website","http://www.estyleshair.com/","1430 Cypress Creek Pkwy, Houston, TX 77090","2","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=2"
"1595466742-102","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Versatile Beauty Center & Salon","https://www.yellowpages.com/houston-tx/mip/versatile-beauty-center-salon-2705006","null","null","(17 Reviews)","(713) 840-9955","null","","5175 Westheimer Rd, Houston, TX 77056","2","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=2"
"1595466542-42","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Beauty By Bruce","https://www.yellowpages.com/houston-tx/mip/beauty-by-bruce-7849711","null","null","(1 Review)","(281) 859-6689","null","","4600 Highway 6 N Ste 265, Houston, TX 77084","4","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=4"
"1595466355-1","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Kelley's Beauty Salon","https://www.yellowpages.com/houston-tx/mip/kelleys-beauty-salon-469675615","null","null","null","(281) 440-5002","null","","13821 Breck St, Houston, TX 77066","5","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=5"
"1595466549-44","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","The Queens Palace Salon","https://www.yellowpages.com/houston-tx/mip/the-queens-palace-salon-462043551","null","null","null","(281) 213-2628","null","","2611 Cypress Creek Pkwy, Houston, TX 77068","4","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=4"
"1595466731-98","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","TGF Hair Salon","https://www.yellowpages.com/houston-tx/mip/tgf-hair-salon-471106672","null","TGF Hair Salon in Houston offers a full range of hair services for women and men including cuts, color, texturizing, styling and waxing-all at an affordable price. Our professional stylists will help you find a style that fits your lifestyle and looks great. Plus, shop for the shampoo, conditioner and styling products needed to keep it looking great. Stop by TGF Hair Salon at 5805 E Sam Houston Pkwy Ste C at the New Forest Crossing Shop Ctr today and be confident you'll get the look you want.","null","(281) 458-4100","Visit Website","http://www.tgfhairsalons.com/","5805 E Sam Houston Pkwy N Ste C, Houston, TX 77049","2","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=2"
"1595466752-106","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Lord & Ladies Hair Designing","https://www.yellowpages.com/houston-tx/mip/lord-ladies-hair-designing-4665946","null","null","(1 Review)","(713) 666-2091","null","","8805 Stella Link Rd, Houston, TX 77025","2","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=2"
"1595466568-49","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Ovations Hair Studios & Spa","https://www.yellowpages.com/houston-tx/mip/ovations-hair-studios-spa-2641490","null","null","null","(713) 533-0008","null","","2410 Quenby St, Houston, TX 77005","4","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=4"
"1595466502-31","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Beauty Elite Group","https://www.yellowpages.com/houston-tx/mip/beauty-elite-group-464807653","null","null","null","(281) 872-8030","Visit Website","http://beautyelitegroup.com/","20411 Imperial Valley Dr, Houston, TX 77073","4","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=4"
"1595466427-14","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Amy Ngan Beauty & Design","https://www.yellowpages.com/houston-tx/mip/amy-ngan-beauty-design-2616160","null","null","(1 Review)","(281) 498-7183","null","","11360 Bellaire Blvd Ste 270, Houston, TX 77072","5","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=5"
"1595466682-85","https://www.yellowpages.com/search?search_terms=Beauty+Salons&geo_location_terms=Houston%2C+TX","Studio 31 Hair Lab","https://www.yellowpages.com/houston-tx/mip/studio-31-hair-lab-3133104","null","null","(1 Review)","(713) 533-9990","Visit Website","http://www.studio31hairlab.com/","2600 Travis St Ste 205, Houston, TX 77006","3","https://www.yellowpages.com/search?search_terms=Beauty%20Salons&geo_location_terms=Houston%2C%20TX&page=3"
